model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.4,3,277562,0,20.58,854468,0,22.084,1,0,0,1610517,82268
v3.2.3,1,462697,0,0.00,1025,0,0.938,0,0,0,0,620
v3.0.4,3,632132,0,0.05,230021,0,0.783,1,0,0,9288,40953
v3.2.3,1,989463,0,0.08,190248,0,0.771,1,0,0,52727,40523
v3.0.4,1,613858,0,0.04,188626,0,0.793,1,0,0,16193,39496
v3.0.4,3,121927,0,0.08,222421,0,1.086,1,0,0,26188,39741
v3.2.4,1,521383,0,0.06,193752,0,0.791,1,0,0,37300,41348
v3.2.3,1,558472,0,0.06,194586,0,0.832,1,0,0,19761,40990
v3.2.4,1,666993,0,0.07,193041,0,1.057,1,0,0,26029,40846
v3.0.4,3,100768,0,0.00,1280,0,0.478,0,0,0,0,928
v3.2.4,3,112830,0,0.00,924,0,1.903,0,0,0,0,518
v3.2.4,1,333218,0,0.00,924,0,0.674,0,0,0,0,516
v3.2.4,1,521777,0,0.07,196590,0,0.752,1,0,0,42219,41327
v3.2.4,3,324531,0,0.00,722,0,1.617,0,0,0,0,310
v3.2.3,3,550811,0,9.34,675429,0,1.796,1,0,0,627944,63290
v3.2.4,1,77136,0,0.06,198281,0,0.728,1,0,0,34690,41753
v3.0.4,3,11680,0,0.00,976,0,0.489,0,0,0,0,619
v3.2.4,1,177001,0,0.92,201438,0,0.739,1,0,0,120598,42472
v3.2.3,1,885021,0,0.05,199690,0,0.717,1,0,0,26268,42589
v3.2.4,3,633465,0,0.00,1025,0,1.878,0,0,0,0,620
v3.0.4,3,719941,0,0.06,225621,0,0.739,1,0,0,28982,40734
v3.2.4,3,233732,0,2.68,860911,0,20.955,1,0,0,259335,83447
v3.2.3,1,712095,0,0.08,193318,0,0.717,1,0,0,77465,41187
v3.2.4,3,193598,0,0.00,722,0,1.557,0,0,0,0,310
v3.2.4,1,495613,0,0.06,189264,0,0.972,1,0,0,14248,40408
v3.2.4,1,979983,0,0.06,196469,0,0.773,1,0,0,47615,41853
v3.0.4,1,522470,0,0.07,184778,0,0.95,1,0,0,31504,38927
v3.2.4,3,883286,0,15.65,849908,0,20.092,1,0,0,1057235,81898
v3.2.4,3,659016,0,0.00,621,0,1.866,0,0,0,0,208
v3.2.3,3,709127,0,13.57,673156,0,2.183,1,0,0,939472,63975
v3.2.4,3,890003,0,0.00,924,0,1.512,0,0,0,0,518
v3.2.4,3,44741,0,5.90,837781,0,20.34,1,0,0,362446,80381
v3.0.4,3,297968,0,0.07,233913,0,0.787,1,0,0,27624,41485
v3.2.4,3,184057,0,6.51,841675,0,21.734,1,0,0,369634,81307
v3.0.4,1,793963,0,0.00,876,0,0.707,0,0,0,0,516
v3.2.4,3,340909,0,0.00,621,0,1.603,0,0,0,0,208
v3.0.4,1,419025,0,0.07,189233,0,0.906,1,0,0,25386,39868
v3.2.3,3,320354,0,0.46,668900,0,2.402,0,0,0,36720,63540
v3.0.4,3,507658,0,0.09,233159,0,0.718,1,0,0,33153,41489
v3.0.4,1,50504,0,0.00,674,0,0.628,0,0,0,0,310
v3.2.3,1,915281,0,0.04,198863,0,0.747,1,0,0,14228,41834
v3.0.4,3,274179,0,0.00,977,0,0.556,0,0,0,0,620
v3.2.4,3,576839,0,0.00,1227,0,1.75,0,0,0,0,826
v3.0.4,1,917711,0,0.00,775,0,0.587,0,0,0,0,414
v3.0.4,1,447219,0,0.00,876,0,0.748,0,0,0,0,516
v3.0.4,3,45669,0,0.00,674,0,0.429,0,0,0,0,310
v3.2.4,3,284612,0,10.23,859251,0,23.554,1,0,0,398890,83165
v3.0.4,1,504344,0,0.09,186981,0,0.925,1,0,0,61654,38555
v3.2.4,3,563391,0,2.94,858977,0,21.518,0,0,0,200794,82411
v3.0.4,3,964201,0,0.08,229552,0,0.717,1,0,0,41805,41407
v3.2.3,3,287262,0,0.82,679640,0,1.94,0,0,0,60688,64670
v3.2.4,3,450041,0,11.49,849348,0,20.534,1,0,0,785670,81546
v3.0.4,3,667373,0,0.05,223993,0,0.781,1,0,0,13063,40766
v3.0.4,3,695041,0,0.00,775,0,0.511,0,0,0,0,414
v3.2.3,1,889657,0,0.07,199850,0,0.727,1,0,0,46469,41990
v3.2.4,3,610267,0,0.00,823,0,1.879,0,0,0,0,414
v3.0.4,3,367728,0,0.06,230753,0,0.81,1,0,0,18087,41485
v3.2.4,3,85001,0,6.09,855335,0,19.543,1,0,0,279602,82843
v3.2.4,1,865288,0,0.00,1126,0,0.487,0,0,0,0,722
v3.2.3,3,184057,0,22.80,664443,0,2.2,1,0,0,1499432,62783
v3.2.3,1,855000,0,0.05,191822,0,0.702,1,0,0,22277,40892
v3.2.4,1,742089,0,0.00,722,0,0.549,0,0,0,0,310
v3.0.4,3,98696,0,0.00,876,0,0.436,0,0,0,0,516
v3.2.3,1,993378,0,0.00,1126,0,0.475,0,0,0,0,724
v3.2.4,1,718631,0,0.06,193242,0,0.734,1,0,0,41454,41151
v3.2.4,3,953448,0,8.35,838471,0,19.164,1,0,0,545705,81653
v3.2.4,1,459634,0,0.06,197024,0,0.802,1,0,0,32739,41425
v3.0.4,3,594675,0,0.00,1078,0,0.434,0,0,0,0,722
v3.2.4,3,738010,0,0.00,1124,0,2.271,0,0,0,0,720
v3.2.4,3,838747,0,7.29,837330,0,20.079,1,0,0,433433,81041
v3.2.3,1,97159,0,0.06,197918,0,0.739,1,0,0,27650,41779
v3.2.4,1,772489,0,0.07,196820,0,0.769,1,0,0,57909,41304
v3.0.4,1,255620,0,0.00,775,0,0.682,0,0,0,0,414
v3.2.3,1,440152,0,0.00,924,0,0.481,0,0,0,0,516
v3.2.4,3,676621,0,6.76,847205,0,20.111,1,0,0,482742,81641
v3.0.4,1,979983,0,0.06,190925,0,0.885,1,0,0,24176,39981
v3.0.4,3,214582,0,0.00,472,0,0.564,0,0,0,0,104
v3.2.3,3,26702,0,18.94,681091,0,2.147,1,0,0,1259725,64537
v3.2.3,3,117866,0,23.83,671081,0,2.135,1,0,0,1745279,63580
v3.2.4,3,610,0,0.00,924,0,1.543,0,0,0,0,518
v3.2.3,1,716301,0,0.10,197799,0,0.95,1,0,0,85712,41587
v3.2.4,3,987742,0,6.28,857759,0,21.207,1,0,0,312121,82852
v3.2.4,1,332105,0,0.06,200489,0,0.797,1,0,0,27007,42168
v3.2.3,1,990079,0,0.05,184972,0,0.841,1,0,0,23697,39766
v3.2.4,3,238276,0,0.00,1126,0,1.961,0,0,0,0,722
v3.2.3,3,636970,0,19.60,680844,0,2.224,1,0,0,1327931,64128
v3.2.4,3,211582,0,2.67,863120,0,20.037,1,0,0,264267,82874
v3.0.4,1,530642,0,0.00,775,0,0.553,0,0,0,0,414
v3.2.3,1,751166,0,0.06,197154,0,0.741,1,0,0,38129,41403
v3.0.4,1,397516,0,0.00,977,0,0.52,0,0,0,0,620
v3.2.3,1,335428,0,0.06,192458,0,0.722,1,0,0,40224,40839
v3.0.4,3,485070,0,0.00,977,0,0.598,0,0,0,0,620
v3.2.3,1,204922,0,0.00,823,0,0.498,0,0,0,0,414
v3.2.4,3,716870,0,0.00,1025,0,1.731,0,0,0,0,620
v3.0.4,3,25387,0,0.00,775,0,0.683,0,0,0,0,414
v3.2.3,3,805778,0,0.00,823,0,1.04,0,0,0,0,414
v3.2.4,1,479413,0,0.07,190988,0,1.061,1,0,0,33048,41178
v3.2.3,3,496514,0,7.58,669680,0,2.278,1,0,0,380607,62304
v3.2.3,1,555908,0,0.00,722,0,0.679,0,0,0,0,310
v3.2.4,1,449117,0,0.06,191265,0,0.739,1,0,0,40152,40851
v3.2.3,3,959560,0,10.83,674423,0,1.907,1,0,0,833037,63654
v3.2.4,3,87387,0,21.97,858234,0,22.312,1,0,0,1698949,82566
v3.2.4,3,776997,0,9.08,858836,0,20.156,1,0,0,623767,83057
