model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.3,1,2290,0,0.08,198649,0,0.831,1,0,0,47554,42333
v3.2.3,1,664,0,0.06,196719,0,0.893,1,0,0,28002,41787
v3.2.3,3,3213,0,18.08,667122,0,2.671,1,0,0,891361,62860
v3.2.4,1,2293,0,0.07,188323,0,0.77,1,0,0,51657,40730
v3.2.3,1,260,0,0.06,199540,0,0.7,1,0,0,34988,41720
v3.2.3,1,637,0,0.07,195478,0,1.01,1,0,0,19933,41147
v3.2.4,1,9472,0,0.07,197776,0,0.925,1,0,0,34578,41951
v3.2.4,1,5732,0,0.06,199317,0,0.923,1,0,0,15411,42453
v3.2.4,3,3316,0,18.55,855692,0,25.027,1,0,0,1018886,82228
v3.2.4,3,6088,0,19.17,851535,0,25.871,1,0,0,1058399,82201
v3.2.3,3,4110,0,40.09,673414,0,2.447,1,0,0,2230799,62964
v3.2.4,1,1979,0,0.05,196447,0,0.86,1,0,0,19477,41657
v3.2.3,1,8760,0,0.04,199937,0,0.9,1,0,0,10016,42179
v3.0.4,1,7991,0,0.05,195562,0,0.672,1,0,0,26583,40289
v3.0.4,1,5453,0,0.06,190312,0,0.863,1,0,0,17209,39463
v3.2.3,1,7425,0,0.06,198135,0,0.757,1,0,0,42765,41784
v3.2.4,1,6591,0,0.08,192805,0,0.941,1,0,0,49702,41572
v3.2.4,3,1098,0,2.62,833327,0,24.867,1,0,0,182214,81229
v3.2.4,3,506,0,13.83,850230,0,24.441,1,0,0,687534,82285
v3.2.4,1,4143,0,0.06,199125,0,0.862,1,0,0,18701,41937
v3.2.4,1,3436,0,0.07,194360,0,0.755,1,0,0,57826,41752
v3.2.4,3,9811,0,8.28,855760,0,22.777,1,0,0,366098,82484
v3.0.4,3,9227,0,0.08,235963,0,1.177,1,0,0,12537,41790
v3.2.3,1,3809,0,0.08,201939,0,0.785,1,0,0,34228,42388
v3.2.3,3,1176,0,30.24,673215,0,2.213,1,0,0,1934970,62911
v3.2.3,3,7400,0,66.72,666050,0,3.121,1,0,0,3246339,62675
v3.2.3,1,2227,0,0.05,203465,0,0.85,1,0,0,15651,42846
v3.2.3,3,4703,0,0.00,1226,0,1.778,0,0,0,0,825
v3.2.4,1,4681,0,0.05,183277,0,1.006,1,0,0,15142,39542
v3.0.4,1,6894,0,0.07,192519,0,0.912,1,0,0,37306,40257
v3.2.3,1,4205,0,0.05,194081,0,0.796,1,0,0,19015,41235
v3.0.4,3,396,0,0.07,237787,0,0.725,1,0,0,37940,42153
v3.2.4,3,2096,0,24.70,847962,0,24.633,1,0,0,1470037,81840
v3.2.3,1,4575,0,0.05,193559,0,0.768,1,0,0,15593,41233
v3.0.4,3,7422,0,0.08,230623,0,0.92,1,0,0,32447,41315
v3.2.3,3,2192,0,3.48,682653,0,2.409,1,0,0,187505,64480
v3.2.3,3,9419,0,0.00,1025,0,1.284,0,0,0,0,620
v3.0.4,3,6183,0,0.18,230989,0,0.734,1,0,0,51601,41214
v3.2.3,1,480,0,0.06,192112,0,0.757,1,0,0,31525,41351
v3.0.4,1,42,0,0.05,192689,0,0.844,1,0,0,20041,40263
v3.0.4,1,622,0,0.06,195529,0,0.867,1,0,0,17555,40311
v3.0.4,1,9072,0,0.06,188089,0,0.698,1,0,0,30618,39320
v3.0.4,1,2872,0,0.05,193714,0,0.86,1,0,0,26907,40467
v3.2.3,1,8988,0,0.06,193790,0,0.9,1,0,0,28126,41370
v3.2.4,1,1206,0,0.00,924,0,0.764,0,0,0,0,516
