model,deal,seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
v3.2.3,1,288314,0,0.05,195803,0,0.908,1,0,0,19175,41338
v3.0.4,1,505797,0,1.01,186421,0,0.863,0,0,0,147025,39014
v3.2.3,1,714565,0,0.07,198363,0,0.819,1,0,0,25572,41653
v3.2.4,1,113667,0,0.06,200867,0,0.765,1,0,0,22167,42271
v3.2.4,1,936079,0,0.00,621,0,0.6,0,0,0,0,208
v3.2.3,1,673251,0,0.00,1126,0,0.634,0,0,0,0,722
v3.0.4,1,712507,0,0.00,1179,0,0.5,0,0,0,0,826
v3.2.4,3,109079,0,0.00,1025,0,1.625,0,0,0,0,620
v3.0.4,1,492477,0,0.05,193285,0,0.787,1,0,0,17567,40423
v3.0.4,3,613477,0,0.00,977,0,0.512,0,0,0,0,620
v3.2.3,3,798796,0,8.59,681594,0,2.177,1,0,0,612837,64022
v3.0.4,3,138809,0,0.00,1179,0,0.503,0,0,0,0,826
v3.0.4,1,134290,0,0.00,674,0,0.485,0,0,0,0,312
v3.2.3,1,864744,0,0.00,1328,0,0.571,0,0,0,0,928
v3.0.4,3,760376,0,0.00,977,0,0.629,0,0,0,0,620
v3.0.4,1,484014,0,0.00,1179,0,0.465,0,0,0,0,826
v3.0.4,1,619329,0,0.05,194533,0,0.668,1,0,0,26569,40234
v3.2.4,1,851634,0,0.00,1126,0,0.648,0,0,0,0,722
v3.2.4,3,763346,0,0.00,1227,0,2.041,0,0,0,0,826
v3.2.4,1,992592,0,0.05,196599,0,0.759,1,0,0,20452,41141
v3.0.4,1,236842,0,0.05,191934,0,0.856,1,0,0,16212,39834
v3.0.4,1,814305,0,0.00,876,0,0.606,0,0,0,0,516
v3.2.3,3,504965,0,17.51,677947,0,2.118,1,0,0,1242944,63492
v3.0.4,3,995962,0,0.07,234352,0,0.723,1,0,0,32774,41580
v3.2.3,3,497160,0,20.45,674144,0,2.491,1,0,0,1550677,63573
v3.2.3,1,416405,0,0.05,196142,0,0.838,1,0,0,13939,41302
v3.2.4,1,863544,0,0.04,200917,0,0.842,1,0,0,15288,42370
v3.2.4,3,184695,0,38.82,851964,0,20.556,0,0,0,2239229,82094
v3.0.4,1,964650,0,0.00,1078,0,0.517,0,0,0,0,722
v3.2.3,1,584855,0,0.00,924,0,0.454,0,0,0,0,516
v3.2.4,1,622717,0,0.06,194491,0,0.9,1,0,0,23093,41066
v3.2.3,3,36992,0,30.03,678477,0,1.92,1,0,0,2415043,64062
v3.2.3,3,964902,0,3.76,669018,0,2.498,1,0,0,194169,62834
v3.2.4,1,252532,0,0.06,197352,0,0.925,1,0,0,12274,41909
v3.2.3,1,288205,0,0.00,924,0,0.595,0,0,0,0,516
v3.2.4,1,879350,0,0.00,1025,0,0.614,0,0,0,0,620
v3.2.3,1,437372,0,0.00,823,0,0.624,0,0,0,0,414
v3.2.4,1,275247,0,0.07,189015,0,1.137,1,0,0,29489,40510
v3.0.4,1,837114,0,0.00,1078,0,0.584,0,0,0,0,722
v3.0.4,3,224976,0,0.05,236463,0,0.773,1,0,0,15888,42339
v3.2.4,1,23555,0,0.05,192766,0,0.903,1,0,0,16186,41277
v3.0.4,1,703438,0,0.00,876,0,0.482,0,0,0,0,516
v3.2.3,1,855426,0,0.05,198259,0,0.85,0,0,0,14030,41758
v3.2.4,1,36909,0,0.00,924,0,0.639,0,0,0,0,516
v3.0.4,3,331283,0,0.06,223396,0,0.89,1,0,0,32908,39743
v3.0.4,3,369428,0,0.00,1280,0,0.534,0,0,0,0,928
v3.2.3,1,587311,0,0.00,722,0,0.551,0,0,0,0,310
v3.2.4,1,222478,0,0.06,199816,0,0.82,1,0,0,38113,42138
v3.2.4,1,585413,0,0.09,195872,0,1.018,1,0,0,100248,41349
v3.2.3,1,697696,0,0.07,198690,0,0.906,1,0,0,49986,41791
v3.2.3,3,295858,0,0.00,924,0,1.027,0,0,0,0,516
v3.0.4,1,117866,0,0.12,190429,0,1.098,1,0,0,62501,39875
v3.2.4,1,534774,0,0.00,924,0,0.516,0,0,0,0,516
v3.0.4,1,67215,0,0.00,876,0,0.761,0,0,0,0,516
v3.0.4,1,196942,0,0.85,187704,0,0.749,0,0,0,198788,38904
v3.2.3,1,284612,0,0.07,200266,0,0.802,1,0,0,39358,42501
